file,line,pattern,classification,context
docs/ENVIRONMENT.md,141,PENDING_REAL_HARDWARE_DATA,HISTORICAL,"still carries `source_type: ""PENDING_REAL_HARDWARE_DATA""` and is excluded"
docs/EXPERIMENTAL_PROTOCOL.md,31,PENDING_REAL_HARDWARE_DATA,HISTORICAL,"| 02 | `esp32-vib-002` | REAL in TRAIN, PENDING_REAL_HARDWARE_DATA in VALIDATION/TEST | ESP32 + SW-420 vibration switch (GPIO4) | 4: trigger_rate, duty_cycle, burst_max_ms, inter_event_cv |"
docs/FINAL_PROJECT_VERIFICATION.md,31,two MPU6050,AUDIT EVIDENCE / historical or scoped current,"[TRAIN ONLY] First physical capture `20260905_162002` contains 321 rows, including 140 all-zero resting readings. Four-channel checkpoints exist. Physical VALIDATION/TEST are absent. Neither two MPU6050 devices nor same-modality manufacturing generalization can be claimed. Exact flashed firmware/build provenance remains incomplete."
docs/FINAL_PROJECT_VERIFICATION.md,55,0\.3958,AUDIT EVIDENCE / historical or scoped current,"**SUPPORTED BUT WEAKER.** B0 is a global anomalous-node count; B1/B2 are indexed concatenated logistic/MLP representations. The misleading `GNN_node_embeddings` label contains final scalar GCN scores plus a logistic head. Corrected TEST accuracy: B0 0.3958, B1 0.5433, B2 0.5267, GCN-score 0.5375. B0-to-B2 delta is +0.1309; prior 20-node delta +0.1325 and 10-node values remain historical. Indexed context improves over a count here; GNN necessity or superiority is unsupported. Cardinality, masking and changed upstream training are not causally separated."
docs/FINAL_PROJECT_VERIFICATION.md,111,reinforcement learning,AUDIT EVIDENCE / historical or scoped current,"Runtime defaults to a fixed offline contextual bandit; the static two-score table remains available. This is not sequential reinforcement learning. Saved P5/P6 results have Macro-F1 0.5271/0.2777, false-block rate 0/0, ALERT recall 0.96/0.99, and BLOCK recall 0/0. P6 uses declared validation constraints; P5 was not fit with the same constrained search. Both meet those bounds descriptively on TEST, but P6 is not globally best. Wall-clock trust decay complicates exact replay unless timestamps are controlled."
docs/FINAL_PROJECT_VERIFICATION.md,131,reinforcement learning,AUDIT EVIDENCE / historical or scoped current,"Do not claim twenty physical devices, two MPU6050s, deployed M6 fusion, GNN necessity/superiority, full reinforcement learning, general population realism, low physical false-alarm reliability, formal graph-equivariance failure, 98% held-out repair quality, or complete acquisition-to-enforcement latency. No novel/first-in-literature claim is authorized without verified related work."
docs/FINAL_PROJECT_VERIFICATION.md,131,two MPU6050,AUDIT EVIDENCE / historical or scoped current,"Do not claim twenty physical devices, two MPU6050s, deployed M6 fusion, GNN necessity/superiority, full reinforcement learning, general population realism, low physical false-alarm reliability, formal graph-equivariance failure, 98% held-out repair quality, or complete acquisition-to-enforcement latency. No novel/first-in-literature claim is authorized without verified related work."
docs/paper/00_PAPER_MASTER_GUIDE.md,21,reinforcement learning,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"Do not claim twenty physical devices, two MPU6050 devices, physical end-to-end M6 validation, verified runtime-M6 superiority, full reinforcement learning, compliance certification, graph necessity or population-level generator realism. Runtime M6 class weights include inactive placeholders; benchmark masking evidence does not validate this trainer. Read the [claim gate](17_CLAIM_EVIDENCE_MATRIX.md) and [open items](25_OPEN_ITEMS_BEFORE_SUBMISSION.md) before drafting the Abstract."
docs/paper/00_PAPER_MASTER_GUIDE.md,21,two MPU6050,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"Do not claim twenty physical devices, two MPU6050 devices, physical end-to-end M6 validation, verified runtime-M6 superiority, full reinforcement learning, compliance certification, graph necessity or population-level generator realism. Runtime M6 class weights include inactive placeholders; benchmark masking evidence does not validate this trainer. Read the [claim gate](17_CLAIM_EVIDENCE_MATRIX.md) and [open items](25_OPEN_ITEMS_BEFORE_SUBMISSION.md) before drafting the Abstract."
docs/paper/13_RESULTS_MASTER_TABLES.md,536,0\.6567,CURRENT,| early_10_node | ba562f7 | 10 | B2_concat_mlp | 0.6567 | 0.6475 |
docs/paper/13_RESULTS_MASTER_TABLES.md,537,0\.4142,CURRENT,| early_10_node | ba562f7 | 10 | B0_anomalous_node_count | 0.4142 | 0.4592 |
docs/paper/13_RESULTS_MASTER_TABLES.md,540,0\.6567,CURRENT,| rebuilt_10_node | de3654a | 10 | B2_concat_mlp | 0.6567 | 0.6492 |
docs/paper/13_RESULTS_MASTER_TABLES.md,541,0\.4175,CURRENT,| rebuilt_10_node | de3654a | 10 | B0_anomalous_node_count | 0.4175 | 0.4575 |
docs/paper/13_RESULTS_MASTER_TABLES.md,544,0\.5283,CURRENT,| pre_audit_20_node | 162d4a6 | 20 | B2_concat_mlp | 0.5283 | 0.5333 |
docs/paper/13_RESULTS_MASTER_TABLES.md,545,0\.3958,CURRENT,| pre_audit_20_node | 162d4a6 | 20 | B0_anomalous_node_count | 0.3958 | 0.3833 |
docs/paper/13_RESULTS_MASTER_TABLES.md,549,0\.3958,CURRENT,| corrected_20_node | 4f6afa2 | 20 | B0_anomalous_node_count | 0.3958 | 0.3833 |
docs/paper/13_RESULTS_MASTER_TABLES.md,553,0\.3958,CURRENT,| CURRENT + M6 (2026-09-07) | 4f6afa2 + nonfinite hardening + M6 arm | 20 | B0_anomalous_node_count | 0.3958 | 0.3833 |
docs/paper/13_RESULTS_MASTER_TABLES.md,558,0\.3958,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"B0 Task 2 counts network anomalies, B1 is indexed concatenated logistic regression, B2 is indexed concatenated MLP; `GNN_node_embeddings` actually concatenates final scalar GCN scores before a logistic head. Corrected B0→B2 is 0.3958→0.5267 (delta +0.1309); pre-fix B2 0.5283 (delta +0.1325). B1 0.5433 exceeds GCN-score 0.5375 numerically. Verdict: SUPPORTED BUT WEAKER for indexed representation versus count; no graph-superiority claim."
docs/paper/13_RESULTS_MASTER_TABLES.md,558,0\.5283,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"B0 Task 2 counts network anomalies, B1 is indexed concatenated logistic regression, B2 is indexed concatenated MLP; `GNN_node_embeddings` actually concatenates final scalar GCN scores before a logistic head. Corrected B0→B2 is 0.3958→0.5267 (delta +0.1309); pre-fix B2 0.5283 (delta +0.1325). B1 0.5433 exceeds GCN-score 0.5375 numerically. Verdict: SUPPORTED BUT WEAKER for indexed representation versus count; no graph-superiority claim."
docs/paper/17_CLAIM_EVIDENCE_MATRIX.md,18,full RL,CURRENT,| C12 constrained policy | evaluate_policy_comparison; policy metrics | SUPPORTING offline evidence | Six policy comparators were evaluated on shared two-score inputs; P6 obeys declared selection constraints | Full RL; P6 globally best; production false-block guarantee | SAFE FOR RESULTS/DISCUSSION |
docs/paper/17_CLAIM_EVIDENCE_MATRIX.md,20,two MPU6050,CURRENT,| C14 heterogeneous hardware demonstration | Firmware/captures/splits; fresh MPU replay | PRELIMINARY; SW TRAIN only | Captures exist from an MPU6050 node and an SW-420 node; held-out evaluation is MPU-only | Two MPU6050s; same-modality manufacturing generalization | SAFE FOR INTRODUCTION WITH QUALIFIER |
docs/paper/18_LIMITATIONS_AND_THREATS_TO_VALIDITY.md,43,20 physical,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"These defects and fixes bound the corrected comparisons in `docs/paper/13_RESULTS_MASTER_TABLES.md` O4/O5 and the split claims in `docs/paper/17_CLAIM_EVIDENCE_MATRIX.md`; they do not change the frozen M1–M9 benchmark numbers. Historical hardware/explanation logs describe the GCN-era chain and remain reproducible via explicit pinning (default `gcn`); the deployed policy Q-table's provenance is now clean and reproducible as of the 2026-09-07 final pass. Physical heavy-shake through the webpage remains unverified. Missing model artifacts can trigger neutral/mean fallback despite valid transport startup. Firmware broker-certificate verification is incomplete/unvalidated across modalities. Replay state and revocation durability are limited; the 600-second freshness tolerance is a demonstration accommodation. Simulation keys are deterministically derived public research credentials and unsuitable as production identities. HTTPS is substituted for CoAP. Historical stage latency excludes network transit, acquisition and SQLite persistence. Standards mappings are not certification. SW-420 physical VALIDATION/TEST data does not exist as of this pass -- unchanged by the corrected-M6 promotion, and not invented here."
docs/paper/20_RELATED_WORK_POSITIONING.md,16,full RL,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"| Contextual-bandit security policy | Context, reward estimation, constraints and sequential decision assumptions | Offline sample-average bandit with two-score state; not full RL |"
docs/paper/22_PAPER_READY_FACTSHEET.md,20,0\.3958,CURRENT,"| Task2 | B0 count0.3958; B2 indexed MLP0.5267; B1 indexed LR0.5433; GCN-score vector0.5375; corrected-M6 arm 0.5983 (best of five, 2026-09-07); [13 N](13_RESULTS_MASTER_TABLES.md) |"
docs/paper/23_TERMINOLOGY_AND_NOTATION.md,36,full RL,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"Avoid “full RL” (use offline contextual bandit), “20 physical nodes” (use 20-node constructed benchmark), “two MPU6050 devices” (name both modalities), and “GNN embeddings” for the Task-2 scalar-score vector. “Deployed M6” must specify configured serving versus directly observed physical deployment; standalone benchmark numbers are not runtime-checkpoint numbers. SHAP is valid here because LinearExplainer/TreeExplainer are actually computed; use log-odds for fusion SHAP. A hand-computed linear contribution without a SHAP computation must not be called SHAP. Historical identifiers remain for reproducibility."
docs/paper/23_TERMINOLOGY_AND_NOTATION.md,36,two MPU6050,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"Avoid “full RL” (use offline contextual bandit), “20 physical nodes” (use 20-node constructed benchmark), “two MPU6050 devices” (name both modalities), and “GNN embeddings” for the Task-2 scalar-score vector. “Deployed M6” must specify configured serving versus directly observed physical deployment; standalone benchmark numbers are not runtime-checkpoint numbers. SHAP is valid here because LinearExplainer/TreeExplainer are actually computed; use log-odds for fusion SHAP. A hand-computed linear contribution without a SHAP computation must not be called SHAP. Historical identifiers remain for reproducibility."
docs/paper/23_TERMINOLOGY_AND_NOTATION.md,36,20 physical,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"Avoid “full RL” (use offline contextual bandit), “20 physical nodes” (use 20-node constructed benchmark), “two MPU6050 devices” (name both modalities), and “GNN embeddings” for the Task-2 scalar-score vector. “Deployed M6” must specify configured serving versus directly observed physical deployment; standalone benchmark numbers are not runtime-checkpoint numbers. SHAP is valid here because LinearExplainer/TreeExplainer are actually computed; use log-odds for fusion SHAP. A hand-computed linear contribution without a SHAP computation must not be called SHAP. Historical identifiers remain for reproducibility."
docs/paper/25_OPEN_ITEMS_BEFORE_SUBMISSION.md,16,20 physical,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"- Resolve each claim-scoped physical gap or omit the claim: SW-420 physical VALIDATION/TEST are pending; MPU resting false alarms remain 5/12; no physical M6 acquisition-to-enforcement trial is recorded. **STILL OPEN** — unchanged by the corrected-M6 promotion, not invented here. These gaps prohibit heterogeneous held-out accuracy, low physical FPR and validated live-M6 claims; they do not prevent writing the bounded paper."
docs/paper/25_OPEN_ITEMS_BEFORE_SUBMISSION.md,22,20 physical,HISTORICAL / SUPERSEDED / PROHIBITED CLAIM (explicit context),"- SW-420 physical VALIDATION/TEST, MPU 5/12 resting false alarms, and no physical M6 acquisition-to-enforcement trial (see above) remain the live physical-evidence gaps."
docs/PAPER_GNN_BASELINE_VERIFICATION.md,31,0\.3958,AUDIT EVIDENCE / historical or scoped current,> compared with 0.3958 for a global anomalous-node-count baseline. Concat MLP
docs/PAPER_GNN_BASELINE_VERIFICATION.md,42,GNN superiority,AUDIT EVIDENCE / historical or scoped current,**C3: GNN superiority is not established.** The GCN loses to B0/B1/B2 on
docs/PAPER_GNN_BASELINE_VERIFICATION.md,75,0\.4175,AUDIT EVIDENCE / historical or scoped current,| B0 global anomalous-node count | 0.4142 | 0.4175 | 0.3958 | 0.3958 |
docs/PAPER_GNN_BASELINE_VERIFICATION.md,75,0\.4142,AUDIT EVIDENCE / historical or scoped current,| B0 global anomalous-node count | 0.4142 | 0.4175 | 0.3958 | 0.3958 |
docs/PAPER_GNN_BASELINE_VERIFICATION.md,75,0\.3958,AUDIT EVIDENCE / historical or scoped current,| B0 global anomalous-node count | 0.4142 | 0.4175 | 0.3958 | 0.3958 |
docs/PAPER_GNN_BASELINE_VERIFICATION.md,77,0\.6567,AUDIT EVIDENCE / historical or scoped current,| B2 concat MLP | 0.6567 | 0.6567 | 0.5283 | 0.5267 |
docs/PAPER_GNN_BASELINE_VERIFICATION.md,77,0\.5283,AUDIT EVIDENCE / historical or scoped current,| B2 concat MLP | 0.6567 | 0.6567 | 0.5283 | 0.5267 |
docs/PAPER_GNN_BASELINE_VERIFICATION.md,84,0\.6567,AUDIT EVIDENCE / historical or scoped current,0.6567 concealed the difference. `de3654a` changed adjacency masking and rebuilt
docs/PAPER_READINESS_VERIFICATION.md,82,20 physical,HISTORICAL,M6 policy retrain with recorded producing hashes; SW-420 physical VALIDATION/TEST
docs/REPOSITORY_AUDIT.md,128,reinforcement learning,AUDIT EVIDENCE / historical or scoped current,"### 2.6 — ""RL policy"" is not reinforcement learning (MEDIUM)"
docs/REPOSITORY_AUDIT.md,145,reinforcement learning,AUDIT EVIDENCE / historical or scoped current,`train_adaptive_pdp.py` and the manuscript all call it reinforcement learning.
docs/REVIEW_RESPONSE_TRACKER.md,33,PENDING_REAL_HARDWARE_DATA,AUDIT EVIDENCE / historical or scoped current,| **Remaining limitation** | C1–C4 require both boards publishing simultaneously. Until then every node-02 row is `PENDING_REAL_HARDWARE_DATA` and excluded. **Command is in the protocol doc §7.2.** |
docs/REVIEW_RESPONSE_TRACKER.md,78,GNN superiority,AUDIT EVIDENCE / historical or scoped current,| **Status** | `COMPLETED` for the pending-content cross-review of local main `4f6afa2`; reporting corrections in RESULTS §0.13.25. GNN superiority is not established. |
docs/REVIEW_RESPONSE_TRACKER.md,81,0\.3958,AUDIT EVIDENCE / historical or scoped current,"| **Current evidence** | Task-1 TEST F1: B0 0.9708, B1 0.7371, B2 **0.9174**, B3 0.3082, GNN 0.5865. Task-2 TEST accuracy: B0 0.3958, B1 **0.5433**, B2 0.5267, GNN 0.5375. B2 Task-1 F1 fell from **0.9662**, with FP 28→270. |"
docs/REVIEW_RESPONSE_TRACKER.md,82,0\.4175,AUDIT EVIDENCE / historical or scoped current,"| **Historical discrepancy resolved** | Earlier 10-node numbers (B0 T2 0.4142, B1 0.6433, B2 0.6567, GNN 0.6058; B2 T1 0.9852) belong to `ba562f7:results/gnn_baselines/metrics.json`. Later 10-node numbers (0.4175, 0.6533, 0.6567, 0.6117; B2 T1 0.9823) belong to `de3654a` at the same path, after a chain rebuild and GNN masking fix. Both are genuine historical runs, not rounding alternatives. See the full ledger in `docs/PAPER_GNN_BASELINE_VERIFICATION.md`. |"
docs/REVIEW_RESPONSE_TRACKER.md,82,0\.6567,AUDIT EVIDENCE / historical or scoped current,"| **Historical discrepancy resolved** | Earlier 10-node numbers (B0 T2 0.4142, B1 0.6433, B2 0.6567, GNN 0.6058; B2 T1 0.9852) belong to `ba562f7:results/gnn_baselines/metrics.json`. Later 10-node numbers (0.4175, 0.6533, 0.6567, 0.6117; B2 T1 0.9823) belong to `de3654a` at the same path, after a chain rebuild and GNN masking fix. Both are genuine historical runs, not rounding alternatives. See the full ledger in `docs/PAPER_GNN_BASELINE_VERIFICATION.md`. |"
docs/REVIEW_RESPONSE_TRACKER.md,82,0\.4142,AUDIT EVIDENCE / historical or scoped current,"| **Historical discrepancy resolved** | Earlier 10-node numbers (B0 T2 0.4142, B1 0.6433, B2 0.6567, GNN 0.6058; B2 T1 0.9852) belong to `ba562f7:results/gnn_baselines/metrics.json`. Later 10-node numbers (0.4175, 0.6533, 0.6567, 0.6117; B2 T1 0.9823) belong to `de3654a` at the same path, after a chain rebuild and GNN masking fix. Both are genuine historical runs, not rounding alternatives. See the full ledger in `docs/PAPER_GNN_BASELINE_VERIFICATION.md`. |"
docs/REVIEW_RESPONSE_TRACKER.md,162,reinforcement learning,AUDIT EVIDENCE / historical or scoped current,"| **Terminology** | Corrected throughout: it is a **contextual bandit with sample-average action-value estimation**, not reinforcement learning. No discount factor, no next-state bootstrapping, reward a fixed function of (state, action). `RL_*` config names retained to avoid a ~20-site rename; the method is described correctly in the docstring, the spec, and the manuscript. |"
METHODOLOGY.md,185,0\.3958,HISTORICAL,"0.3958 for B0, 0.5433 for concat logistic, 0.5267 for concat MLP and 0.5375"
METHODOLOGY.md,364,0\.0000,HISTORICAL,Verified on live hardware: shaking the board drove `s_proc` to 0.00001 across 16
METHODOLOGY.md,368,reinforcement learning,HISTORICAL,### 3.5 Adaptive policy (contextual bandit — not reinforcement learning)
METHODOLOGY.md,371,reinforcement learning,HISTORICAL,"action-value estimation**, not reinforcement learning: there is no discount"
METHODOLOGY.md,406,0\.0000,HISTORICAL,0.9600 and false-block 0.0000. P6 constrained static is 0.2777 with recall
METHODOLOGY.md,407,0\.0000,HISTORICAL,0.9900 and false-block 0.0000; P1 static is 0.2744. Thus P6 is the best feasible
METHODOLOGY.md,623,0\.3958,HISTORICAL,"GNN 0.5375, B2 0.5267 and B0 0.3958. B0 is a global count; the evidence"
METHODOLOGY.md,646,0\.0000,HISTORICAL,A violently shaken board moved `s_proc` to 0.00001 while `s_sec` held 0.895–0.909
PRD.md,107,0\.0000,HISTORICAL,"| G1 | Separate cyber and physical trust so opposite failures get opposite responses | **Met** — proven live: a shaken authenticated board drives Process to 0.00001 while Security holds 0.895–0.909 (`RESULTS.md` §1, 0.10.17) |"
PRD.md,256,0\.3958,HISTORICAL,"| FR-P2 | The ensemble MUST include a relational signal (graph or set/concatenated alternative) capable of detecting cross-device anomalies | Current constructed Task-2 TEST accuracy: global count B0 0.3958, concat logistic B1 **0.5433**, concat MLP B2 0.5267, GNN 0.5375. B0 already sees all valid nodes through a count; a literal single-device comparison is pending. Task-1 B2 F1 fell materially from **0.9662 to 0.9174** after masking correction; GNN F1 is 0.5865, above B3 0.3082 but below B0/B1/B2. No statistical superiority or causal network-size claim. Historical runs and current evidence: `docs/PAPER_GNN_BASELINE_VERIFICATION.md`, RESULTS §0.13.25, C2/C3. | **Signal present; indexed-versus-count observation supported; graph superiority unestablished** |"
PRD.md,383,0\.0000,HISTORICAL,A violently shaken authenticated board drives Process to 0.00001 while Security
PRD.md,403,0\.3958,HISTORICAL,"accuracy: B1 0.5433, GNN 0.5375, B2 0.5267, B0 global count 0.3958."
PRD.md,413,reinforcement learning,HISTORICAL,"one. It is a contextual bandit, not reinforcement learning (C6)."
README.md,49,GNN superiority,HISTORICAL,"| Legacy GCN | Superseded as the deployed relational scorer by M6 (2026-09-07); corrected ablations and topology probes do not support a general GNN superiority claim. A fair, clean-provenance GCN policy baseline was retrained for the final policy comparison (`adaptive_pdp_qtable_gcn_corrected.json`). Prior fusion artifacts retained (`models/*_gcn_backup.*`) for reproducibility. |"
results/final_verification/hardware_temporal_review.md,32,PENDING_REAL_HARDWARE_DATA,AUDIT EVIDENCE / historical or scoped current,"| `esp32-vib-002` | 1 | SW-420: trigger_rate, duty_cycle, burst_max_ms, inter_event_cv | REAL | PENDING_REAL_HARDWARE_DATA |"
results/final_verification/research_review.md,13,0\.0000,AUDIT EVIDENCE / historical or scoped current,"2. **The permutation probe is not a joint graph permutation/equivariance test.** It permutes `X`, leaves adjacency in the original slot order, then inverse-permutes outputs (`benchmark_crossdevice_models.py:1324-1346`). This tests sensitivity to reassigning device features among fixed topology slots. A true graph relabelling test must apply `PAP^T` to adjacency together with `PX` and compare `P f(A,X)` to `f(PAP^T,PX)`. Therefore the JSON key `structural_probes.permutation_max_abs_score_delta` can safely be called **fixed-topology slot-reassignment sensitivity**, not lack of permutation equivariance. Its values are M3 `0.000001`, M4 `0.926169`, M5 `0.058649`, M6/M7/M8 `0.0`."
results/final_verification/research_review.md,17,GNN superiority,AUDIT EVIDENCE / historical or scoped current,"4. **Task-2 cannot establish GNN superiority.** Test accuracies are B0 `0.3958`, B1 `0.5433`, B2 `0.5267`, and GCN-score vector `0.5375` (`gnn_baselines/metrics.json.task2_network_coordination_pattern`). B1 is numerically highest on test, while GCN is highest on validation (`0.5475` versus B1 `0.5375`). The code prints the test winner at lines 528-529; that is acceptable as post-hoc description, but not model selection. Correct novelty/result claim: indexed whole-network score vectors improve over a one-dimensional anomalous-node count on this fixed split; the GCN-derived score vector does not beat concatenated logistic regression."
results/final_verification/research_review.md,17,0\.3958,AUDIT EVIDENCE / historical or scoped current,"4. **Task-2 cannot establish GNN superiority.** Test accuracies are B0 `0.3958`, B1 `0.5433`, B2 `0.5267`, and GCN-score vector `0.5375` (`gnn_baselines/metrics.json.task2_network_coordination_pattern`). B1 is numerically highest on test, while GCN is highest on validation (`0.5475` versus B1 `0.5375`). The code prints the test winner at lines 528-529; that is acceptable as post-hoc description, but not model selection. Correct novelty/result claim: indexed whole-network score vectors improve over a one-dimensional anomalous-node count on this fixed split; the GCN-derived score vector does not beat concatenated logistic regression."
results/final_verification/research_review.md,34,0\.0000,AUDIT EVIDENCE / historical or scoped current,| M4 GCN | 0.150 | 1059 | 1052 | 20248 | 441 | 0.5017 | 0.7060 | 0.5865 | 0.0494 | 0.7755 | 0.9458 | 0.0000 | 0.7844 |
results/final_verification/research_review.md,68,0\.0000,AUDIT EVIDENCE / historical or scoped current,"- On this fixed 20-node hybrid test corpus, M6 had the best single-seed Task-1 F1 (`0.9810`) and M4 performed poorly on isolated anomalies (`0.0000` recall at its validation-selected max-F1 threshold)."
results/gcn_m6_corrected_comparison/summary.md,33,20 physical,AUDIT EVIDENCE / historical or scoped current,- SW-420 physical VALIDATION/TEST still doesn't exist (not invented here).
results/m6_corrected_policy/summary.md,9,0\.0000,AUDIT EVIDENCE / historical or scoped current,"| GCN + matched GCN fusion (clean, deterministic) | 0.5303 | 0.7863 | 0.7259 | 0.0000 | 0.0007 |"
results/m6_corrected_policy/summary.md,10,0\.0000,AUDIT EVIDENCE / historical or scoped current,| Corrected M6 + matched corrected-M6 fusion | 0.5332 | 0.7900 | 0.7307 | 0.0000 | 0.0007 |
results/m6_corrected_policy/summary.md,25,0\.0000,AUDIT EVIDENCE / historical or scoped current,| BLOCK | 33 | 0.0000 | 0.0000 | 0.0000 | 0 | 0 | 33 |
