file,classification,producer,seeds,split_and_protocol,metric_definitions,checkpoint,document_references
results/astra_masking_review/replay.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/self_loop_sweep.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/verification.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/comparator_repair/comparator_audit.json,CURRENT FOR RECORDED PROTOCOL,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/crossdevice_benchmark/m9_ablation_investigation.json,EXPERIMENTAL / ORIGINAL PROVENANCE LIMITED,benchmark_crossdevice_models.py,0 (main metrics); 0-9 (seed-study/ablation artifacts),Constructed TRAIN / validation threshold selection / held-out TEST; virtual regimes separate,Anomaly-positive F1/precision/recall/FPR; Macro-F1; ROC-AUC; paired probe changes,Local IF/LSTM and baseline GCN lineage; individual M1-M9 fits not persisted,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/crossdevice_benchmark/m9_seed_study.json,EXPERIMENTAL / ORIGINAL PROVENANCE LIMITED,benchmark_crossdevice_models.py,0 (main metrics); 0-9 (seed-study/ablation artifacts),Constructed TRAIN / validation threshold selection / held-out TEST; virtual regimes separate,Anomaly-positive F1/precision/recall/FPR; Macro-F1; ROC-AUC; paired probe changes,Local IF/LSTM and baseline GCN lineage; individual M1-M9 fits not persisted,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/crossdevice_benchmark/metrics.json,CURRENT FOR RECORDED PROTOCOL,benchmark_crossdevice_models.py,0 (main metrics); 0-9 (seed-study/ablation artifacts),Constructed TRAIN / validation threshold selection / held-out TEST; virtual regimes separate,Anomaly-positive F1/precision/recall/FPR; Macro-F1; ROC-AUC; paired probe changes,Local IF/LSTM and baseline GCN lineage; individual M1-M9 fits not persisted,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/crossdevice_benchmark/seed_study.json,EXPERIMENTAL / ORIGINAL PROVENANCE LIMITED,benchmark_crossdevice_models.py,0 (main metrics); 0-9 (seed-study/ablation artifacts),Constructed TRAIN / validation threshold selection / held-out TEST; virtual regimes separate,Anomaly-positive F1/precision/recall/FPR; Macro-F1; ROC-AUC; paired probe changes,Local IF/LSTM and baseline GCN lineage; individual M1-M9 fits not persisted,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/AUDIT_RECEIPT_PUBLICATION_MANIFEST.md,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/credential_scan.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/documentation_validation.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/evidence_preservation.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/explainability_evaluation.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/explainability_evaluation_corrected.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/finite_parity_current.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/generator_validation.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/hardware_evaluation.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/hardware_temporal_review.md,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/initial_repository_state.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/isolated_gat_red.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/local_fusion_evaluation.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/log_normalization.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/markdown_inventory.csv,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/masking_boundary_review.md,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/model_metadata.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/nonfinite_green.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/nonfinite_red.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/paper_numeric_sources.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/pooled_training_red.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/pytest_after_fixes.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/pytest_collection.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/pytest_final.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/pytest_initial.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/repository_inventory.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/research_review.md,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/result_artifact_inventory.csv,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/source_claim_occurrences.csv,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/stale_claim_occurrences.csv,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/subsystem_matrix.csv,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/targeted_tests.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/test_summary.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/unittest.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/final_verification/unittest_final.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/gcn_m6_corrected_comparison/artifact_lineage.json,CURRENT FOR RECORDED PROTOCOL,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/gcn_m6_corrected_comparison/fusion_comparison.json,CURRENT FOR RECORDED PROTOCOL,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/gcn_m6_corrected_comparison/hardware_comparison.json,CURRENT FOR RECORDED PROTOCOL,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/gcn_m6_corrected_comparison/latency_comparison.json,CURRENT FOR RECORDED PROTOCOL,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/gcn_m6_corrected_comparison/policy_comparison.json,CURRENT FOR RECORDED PROTOCOL,evaluate_policy_comparison.py,Producer-defined deterministic fits; wall-clock replay caveat,VAL_002 fit/select; 2933 accepted legacy TEST rows,"Four-class accuracy/Macro-F1, per-class recall, false-block rate",Current local/GCN/fusion chain and offline bandit Q table,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
