file,line,pattern,classification,reason,context
scripts/generate_network_data.py,158,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"PENDING_REAL_HARDWARE_DATA."""""""
scripts/generate_network_data.py,252,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"""source_type"": ""PENDING_REAL_HARDWARE_DATA"","
scripts/generate_network_data.py,297,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"f""PENDING={by_src.get('PENDING_REAL_HARDWARE_DATA', 0):5d}  anomalous={anom}"")"
scripts/generate_network_data.py,300,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"print(f""    ! {d}: {n} rows PENDING_REAL_HARDWARE_DATA -- no capture in the """
scripts/train_adaptive_pdp.py,11,reinforcement learning,CURRENT,Current pending-data contract or explicitly qualified terminology,this is not reinforcement learning. The update rule in adaptive_pdp.py is
scripts/verify_paper_package.py,26,GNN is necessary,CURRENT,"Audit search pattern, not a project claim","PATTERNS = [r'GNN is necessary',r'only GNN',r'GNN superiority',r'reinforcement learning',r'full RL',"
scripts/verify_paper_package.py,26,only GNN,CURRENT,"Audit search pattern, not a project claim","PATTERNS = [r'GNN is necessary',r'only GNN',r'GNN superiority',r'reinforcement learning',r'full RL',"
scripts/verify_paper_package.py,26,GNN superiority,CURRENT,"Audit search pattern, not a project claim","PATTERNS = [r'GNN is necessary',r'only GNN',r'GNN superiority',r'reinforcement learning',r'full RL',"
scripts/verify_paper_package.py,26,reinforcement learning,CURRENT,"Audit search pattern, not a project claim","PATTERNS = [r'GNN is necessary',r'only GNN',r'GNN superiority',r'reinforcement learning',r'full RL',"
scripts/verify_paper_package.py,26,full RL,CURRENT,"Audit search pattern, not a project claim","PATTERNS = [r'GNN is necessary',r'only GNN',r'GNN superiority',r'reinforcement learning',r'full RL',"
scripts/verify_paper_package.py,27,two MPU6050,CURRENT,"Audit search pattern, not a project claim","r'two MPU6050',r'20 physical',r'15 physical',r'virtual generator not built',r'NP-ST proposed',"
scripts/verify_paper_package.py,27,20 physical,CURRENT,"Audit search pattern, not a project claim","r'two MPU6050',r'20 physical',r'15 physical',r'virtual generator not built',r'NP-ST proposed',"
scripts/verify_paper_package.py,27,15 physical,CURRENT,"Audit search pattern, not a project claim","r'two MPU6050',r'20 physical',r'15 physical',r'virtual generator not built',r'NP-ST proposed',"
scripts/verify_paper_package.py,27,virtual generator not built,CURRENT,"Audit search pattern, not a project claim","r'two MPU6050',r'20 physical',r'15 physical',r'virtual generator not built',r'NP-ST proposed',"
scripts/verify_paper_package.py,27,NP-ST proposed,CURRENT,"Audit search pattern, not a project claim","r'two MPU6050',r'20 physical',r'15 physical',r'virtual generator not built',r'NP-ST proposed',"
scripts/verify_paper_package.py,28,Transformer proposed,CURRENT,"Audit search pattern, not a project claim","r'Transformer proposed',r'PENDING_REAL_HARDWARE_DATA',r'0\.1467',r'0\.0000',r'0\.4175',r'0\.6567',"
scripts/verify_paper_package.py,28,PENDING_REAL_HARDWARE_DATA,CURRENT,"Audit search pattern, not a project claim","r'Transformer proposed',r'PENDING_REAL_HARDWARE_DATA',r'0\.1467',r'0\.0000',r'0\.4175',r'0\.6567',"
tests/test_gnn_baseline_audit_integration.py,68,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,expected_source = ('PENDING_REAL_HARDWARE_DATA' if pending else
tests/test_gnn_baseline_pending_node_masking.py,1,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"""""""Regression tests for the PENDING_REAL_HARDWARE_DATA / invalid-node leakage"
tests/test_gnn_pending_node_masking.py,1,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"""""""A PENDING_REAL_HARDWARE_DATA node's 0.9 placeholder must not influence a"
