COMPONENT,PURPOSE,IMPLEMENTATION FILE,CLASS / FUNCTION,INPUT,OUTPUT,MODEL / ALGORITHM,TRAINING STATUS,INFERENCE STATUS,TEST COVERAGE,RESULT ARTIFACT,DEPLOYMENT STATUS,RESEARCH STATUS,KNOWN LIMITATIONS,PAPER-SAFE DESCRIPTION
Preprocessing,Preprocessing,src/feature_engineering.py; src/datasets.py,`feature_engineering.feature_vector`; `datasets.normal_sequences`,Named fields/runs,ordered vectors/windows,Saved TRAIN mean/std,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Training/inference separated,temporal/schema tests; model metadata,results/final_verification/hardware_temporal_review.md,IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Resampled network trajectories are not contiguous physical acquisitions,Preprocessing maps Named fields/runs to ordered vectors/windows using Saved TRAIN mean/std. Scope: Resampled network trajectories are not contiguous physical acquisitions.
Local detectors,Local detectors,src/trust_engine.py; src/isolation_forest_scorer.py; src/lstm_ae_scorer.py,"`rule_range_score`, `IsolationForestScorer`, `LSTMAEScorer`",Local reading/window,normality scores,Rule; offline IF and LSTM-AE,OFFLINE ONLY; no serving-time fitting,Runtime,local replay; checkpoint metadata,results/final_verification/local_fusion_evaluation.log,IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Scalar devices mirror rule into IF/LSTM slots,Local detectors maps Local reading/window to normality scores using Rule; offline IF and LSTM-AE. Scope: Scalar devices mirror rule into IF/LSTM slots.
Temporal Transformer,Temporal Transformer,src/transformer_scorer.py,`TransformerScorer`,Eight-step window,score,Offline denoising Transformer AE,OFFLINE ONLY; no serving-time fitting,Ablation only,fair local comparison,results/final_verification/local_fusion_evaluation.log,EXPERIMENTAL / OFFLINE,EXPERIMENTAL,No measured deployment advantage,Temporal Transformer maps Eight-step window to score using Offline denoising Transformer AE. Scope: No measured deployment advantage.
Relational runtime,Relational runtime,src/gnn_scorer.py,"`GNNScorer.score`, `_GCN`","Per-node [rule,IF,LSTM]",P(normal),"Offline GCN; 32 hidden, 3 layers",OFFLINE ONLY; no serving-time fitting,Runtime candidate,masking tests; `models/gnn.pt`,results/final_verification/finite_parity_current.json; models/gnn.pt,IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Active-time graph differs from benchmark topology,"Relational runtime maps Per-node [rule,IF,LSTM] to P(normal) using Offline GCN; 32 hidden, 3 layers. Scope: Active-time graph differs from benchmark topology."
Relational research,Relational research,scripts/benchmark_crossdevice_models.py; scripts/evaluate_gnn_baselines.py,Benchmark M1–M9 factories,Constructed score snapshots,per-node probabilities,Offline sklearn/PyTorch,OFFLINE ONLY; no serving-time fitting,Experimental,crossdevice metrics,results/crossdevice_benchmark/metrics.json; results/gnn_baselines/metrics.json,EXPERIMENTAL / OFFLINE,EXPERIMENTAL,No persisted per-model M1–M9 checkpoints,Relational research maps Constructed score snapshots to per-node probabilities using Offline sklearn/PyTorch. Scope: No persisted per-model M1–M9 checkpoints.
Fusion,Fusion,src/fusion_engine.py,`FusionEngine.combine`,Four local/GCN scores,trust/confidence,Balanced logistic regression on VAL_001,OFFLINE ONLY; no serving-time fitting,Runtime,`fusion_meta_learner.joblib`; replay,results/final_verification/local_fusion_evaluation.log; models/fusion_meta_learner.joblib,IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,M6 complementarity untested,Fusion maps Four local/GCN scores to trust/confidence using Balanced logistic regression on VAL_001. Scope: M6 complementarity untested.
Process Trust,Process Trust,src/trust_engine.py,"`update_process_anomaly`, `get_process_anomaly`",Fused normality,retained score/status,State store; no training,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Runtime,staleness tests,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,"Confidence is probability decisiveness, not uncertainty calibration","Process Trust maps Fused normality to retained score/status using State store; no training. Scope: Confidence is probability decisiveness, not uncertainty calibration."
Policy,Policy,src/policy_engine.py; src/adaptive_pdp.py,`decide`; `AdaptivePDP.greedy_action`,Two trusts,four actions,Static table / offline sample-average bandit,OFFLINE ONLY; no serving-time fitting,Bandit selected by config,policy comparison metrics,results/policy_comparison/metrics.json,IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,No sequential Bellman learning,Policy maps Two trusts to four actions using Static table / offline sample-average bandit. Scope: No sequential Bellman learning.
Explainability,Explainability,src/explainability.py; src/fusion_engine.py,`FusionEngine._explain`; `explainability.level2_explain`,Scores/models,additive log-odds and perturbation explanation,SHAP LinearExplainer; repair probes,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Runtime and experimental evaluation,explanation tests/log,results/final_verification/explainability_evaluation_corrected.log,IMPLEMENTED; physical serving deployment not reobserved in this audit,EXPERIMENTAL,Repair/rank metrics differ; some use historical 0.5,Explainability maps Scores/models to additive log-odds and perturbation explanation using SHAP LinearExplainer; repair probes. Scope: Repair/rank metrics differ; some use historical 0.5.
Audit logging,Audit logging,src/audit_log.py,"`audit_log.log_decision`, integrity/checkpoint verification",Decision,SQLite chain/checkpoints,"SHA-256 chain, separate HMAC key",NO LEARNED FITTING in runtime; preprocessing/generation as documented,Runtime,audit-chain invariants,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Local key/storage compromise is outside guarantee,"Audit logging maps Decision to SQLite chain/checkpoints using SHA-256 chain, separate HMAC key. Scope: Local key/storage compromise is outside guarantee."
Virtual generator,Virtual generator,src/virtual_device_generator.py; scripts/generate_virtual_network_data.py,"`VirtualDevice`, `generate_virtual_network_data.py`",TRAIN/VAL/TEST source blocks + seed,generated streams,Affine transform + covariance-aware AR(1) + drift,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Offline experiment,generator tests/validation log,results/final_verification/generator_validation.log,EXPERIMENTAL / OFFLINE,EXPERIMENTAL,Single-source internal realism diagnostic,Virtual generator maps TRAIN/VAL/TEST source blocks + seed to generated streams using Affine transform + covariance-aware AR(1) + drift. Scope: Single-source internal realism diagnostic.
Benchmark generation,Benchmark generation,scripts/generate_network_data.py,`generate_network_data.py`,Real pools + legacy simulator,20-node scenarios,Seeded resampling/scenario injection,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Offline,schema/generation tests; network files,data/collected/; results/crossdevice_benchmark/metrics.json,EXPERIMENTAL / OFFLINE,OFFLINE DATA PROVENANCE / no fresh hardware acquisition in audit,Physical-source rows sampled with replacement,Benchmark generation maps Real pools + legacy simulator to 20-node scenarios using Seeded resampling/scenario injection. Scope: Physical-source rows sampled with replacement.
Hardware capture,Hardware capture,scripts/collect_hardware_session.py; scripts/merge_real_hardware_data.py,"`collect_hardware_session.py`, `merge_real_hardware_data.py`",Gateway records + operator marks,labelled data,Capture/curation; no learner,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Operator-dependent,raw captures/split manifest,firmware/HARDWARE_DATA_LOG.md; data/collected/,EXPERIMENTAL / OFFLINE,OFFLINE DATA PROVENANCE / no fresh hardware acquisition in audit,No fresh capture during audit,Hardware capture maps Gateway records + operator marks to labelled data using Capture/curation; no learner. Scope: No fresh capture during audit.
Experiment scripts,Experiment scripts,scripts/,"`train_*.py`, `evaluate_*.py`, benchmark",Frozen splits/checkpoints,metrics,Offline training/evaluation,OFFLINE ONLY; no serving-time fitting,Research only,preserved logs/JSON,docs/paper/24_REPRODUCIBILITY_GUIDE.md,EXPERIMENTAL / OFFLINE,EXPERIMENTAL,Some scripts print rather than persist JSON,Experiment scripts maps Frozen splits/checkpoints to metrics using Offline training/evaluation. Scope: Some scripts print rather than persist JSON.
